endTime,artistName,trackName,msPlayed
3/27/2019 1:15,Lord Huron,The Night We Met,73942
3/27/2019 1:18,James Bay,Peer Pressure (feat. Julia Michaels),136115
3/27/2019 1:20,5 Seconds of Summer,Lie To Me (feat. Julia Michaels),149877
3/27/2019 1:25,Lauv,Never Not,208000
3/27/2019 1:28,Julia Michaels,What A Time (feat. Niall Horan),173306
3/27/2019 1:31,James TW,Please Keep Loving Me,195920
3/27/2019 1:35,Calum Scott,No Matter What,236525
3/27/2019 2:11,Lukas Graham,Love Someone,205440
3/27/2019 2:14,Phil Wickham,Till I Found You,8330
3/27/2019 2:14,Charlie Puth,Patient,190533
3/27/2019 5:17,Isaiah,It's Gotta Be You,193446
3/27/2019 5:20,Dean Lewis,Be Alright,196373
3/27/2019 5:26,Katy Perry,Waving Through A Window - from Dear Evan Hansen,235986
3/27/2019 5:29,JP Cooper,All This Love,193597
3/27/2019 5:29,George Ezra,Hold My Girl (Acoustic Version),30875
3/27/2019 13:51,George Ezra,Hold My Girl (Acoustic Version),207897
3/27/2019 13:54,Lauv,There's No Way (feat. Julia Michaels),174860
3/27/2019 13:58,GRAACE,Last Night,171728
3/27/2019 14:53,Kane Brown,Heaven - Acoustic,34435
3/27/2019 15:57,Kane Brown,Heaven - Acoustic,140158
3/27/2019 15:59,Shawn Mendes,Fallin' All In You,128716
3/27/2019 16:56,Niall Horan,Too Much To Ask,1602
3/27/2019 17:00,Lauv,The Story Never Ends,229029
3/27/2019 17:03,James TW,When You Love Someone,216373
3/27/2019 17:07,James Arthur,Say You Won't Let Go,211240
3/27/2019 17:07,Train,Marry Me,5089
3/27/2019 17:09,The Script,"Never Seen Anything ""Quite Like You"" - Acoustic",130890
3/28/2019 3:28,Ozymandias,I Miss You,118050
3/28/2019 4:17,Chris Tomlin,Good Good Father,297146
3/28/2019 4:18,Cory Asbury,Reckless Love,78502
3/28/2019 14:09,Cory Asbury,Reckless Love,254877
3/28/2019 14:09,Lauren Daigle,You Say,6520
3/28/2019 14:14,MercyMe,Even If,255160
3/28/2019 14:18,Tauren Wells,Hills and Valleys,235025
3/28/2019 14:23,Hillsong Worship,What A Beautiful Name,220377
3/28/2019 17:18,Hillsong UNITED,Oceans (Where Feet May Fail),374955
3/28/2019 18:05,Hillsong UNITED,Oceans (Where Feet May Fail),3622
3/28/2019 18:08,Hillsong UNITED,Oceans (Where Feet May Fail),157541
3/28/2019 18:11,NEEDTOBREATHE,Brother (feat. Gavin DeGraw),208205
